src|alt
whitemage.png|A grey web badge with a sprite of the White Mage from Final Fantasy with text that reads, "White Mage"
winter.gif|A white and dark blue web badge with an image of a snowman and text that reads, "Winter"
squareenix.gif|A black and white web badge with an image of the Square-Enix logo and text that reads, "Square-Enix"
stayingup.gif|A dark blue web badge with text that reads, "Staying up!"
tama.png|A pink and white web badge with text that reads, "Tamagotchi!!!"
nintendo.gif|A black and grey web badge with text and in image of the Nintendo Gamecube logo that reads, "Nintendo"
nosmoking.png|A red web badge with an icon of a cigarette being crossed out and text that reads, "No smoking!"
pride2.gif|A white web badge with stripes from the LGBT flag and text that reads, "Pride!"
sinanger.gif|A black and red web badge with text that reads, "Sin: Anger"
nightcoder.gif|A black and grey web badge with text that reads, "Night coder"
meowmix.png|A white and grey web badge with text that reads, "Meow Mix!"
math.png|A grey and white web badge with images of an integration symbol and "dx" variables, and text that reads, "Math"
lovepowered.gif|A black and white web badge with a black and white border and text that reads, "Love powered". "Love" is replaced by a red pixel heart
lovemeforme.gif|A pink and pastel pink web badge with text that reads, "Love me for me"
lgbt_poly.png|A black web badge with stripes with the colors and symbol from the outdated polyamory flag. and text that reads, "Polyamory"
lgbt_pan.png|A black web badge with stripes with the colors of the pansexual flag, and text that reads, "Pan"
lgbt_ace.png|A black web badge with stripes with the colors of the asexual flag, and text that reads, "Asexual"
iloveanime.gif|A purple web badge with an image of an anime girl's eyes, and text that reads, "I love anime". "Love" is replaced by a white heart
hellokitty.gif|A red and pink web badge with an image of Kitty from the Hello Kitty franchise, and text that reads, "Love Hello Kitty". "Love" is replaced by a white pixel heart
goldfish.gif|A white and orange web badge with an image of a Goldfish cracker, and text that reads, "Goldfish"
give_blood.gif|A blue and white web badge with an image of a drop of blood, and text that reads, "Give blood"
geek90.gif|A blue and grey web badge with text that reads, "90% geek"
firefox.gif|A blue web badge with an outdated image of the Firefox logo, and text that reads, "Firefox"
coffeepowered.gif|A brown and black web badge with a brown and white border and text that reads, "Coffee powered"
cheezburger.png|A white web badge with an image of a cheeseburger and text that reads, "Cheezburger", a misspelling of "Cheeseburger"
badinlatin.png|A black and purple web badge with text that reads, "Bad in Latin"
autumn.gif|A brown web badge with an orange border, an image of a maple leaf, and text that reads, "Autumn"
aquarius.gif|A web badge with a grey border, a space background with an Aquarius symbol on the side, and text and reads, "Aquarius"
80x15addict.gif|A white web badge with text that reads, "80 x 15 button addict"
404.gif|A black and white web badge with a red border and text that reads, "404 not found"
alignment_chaotic_neutral.png|A red and black web badge with text that reads, "Chaotic neutral"
androgynous.png|A blue web badge with text that reads, "Androgynous"
